Name,Meaning
Ààrẹ,Commander.
Àbáyọ̀mí,I would have been mocked.
Abégúndé,The one who came with the masquerade.
Abẹ̀rùàgbà,The one who respects elders.
Abíádé,One born to royalty.
Abídèmí,The child born before I returned.
Abíkóyè,Given birth to in addition to the chieftaincy.
Abímbádé,I was born with the crown.
Abímbọ́lá,I was born with wealth/success/nobility/prestige.
Abímbólú,I was born into a family of champions.
Abímbọ́nà,I was born with artistry.
Abímbóyè,I was born with the chieftaincy.
Abínúṣawà,[unknown]
Abíọ́dún,Born during a festival.
Abíọ́lá,Born into wealth/success/nobility.
Abíọ́nà,"1. Born into the arts. 
2. Born on the way."
Abíọ́sẹ̀,Born on a Sunday.
Abíóyè,Born with the chieftaincy.
Abírí,We've given birth to him/her before.
Abísọdún,Born during a festival.
Abísọ́lá,Born into wealth.
Abísóyè,Born into the chieftaincy.
Àbíyè,One who is given birth to who lives.
Àbọ̀ábá,We're coming home to meet him/her.
Abọ́dẹrìn,He who walks with the hunters.
Abógundé,He came with the war.
Abọ́lájí,One who woke up with wealth.
Abólúwarìn,He walks with the lord.
Àbọ́n,[unknown]
Abórìṣàdé,One who came with the òrìṣà.
Abóyèjí,"1. One who wakes up with chieftaincy/honour.
2. We woke up with chieftaincy/honour."
Àbùsíèdùmàrè,The additional blessings of olódùmarè.
Adagbádá,One who goes around with yards of Agbádá. A wealthy person.
Adágúnodò,A stagnant water. A lake.
Adámọlẹ́kun,One who makes a child stop crying.
Adásọfúnjó,He sews clothes for dancing.
Adé,The crown.
Adéagbo,The crown of the crowd.
Adébámirìn,The crown walks with me.
Adébánjí,Royalty woke up with me.
Adébánjọ,The crown agrees with me.
Adébánwò́,The crown will look after this one.
Adébáre,"1. The crown meets goodness. 
2. We have come to meet good."
Adébáyọ̀,"1. Royalty meets joy. 
2. We have come to meet joy."
Adébẹ́ṣin,"1. The crown meets the horse. 
2. We have come to meet the horse."
Adébísí,The crown has given birth to more. The crown is fruitful.
Adébíyì,The crown birthed this.
Adébọ́dún,"1. We have come to meet festivities.
2. The crown meets festivities."
Adébọ́sìn,"1. The crown meets the king.
2. We arrived to meet the king."
Adébóyè,"1. Royalty meets honour. 
2. We arrived to meet honour."
Adébúlé,Royalty did not arrive at home.
